UCL_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
UCL101001,53,352,280,5419,1479,864,874,403,140,9856,40,170,462,2998,1841,2871,4602,4642,1949,19568,106,415,520,1583,721,351,220,63,8,4004,212,1231,3053,10330,3477,2436,1224,622,112,22700,95,397,1073,8173,6642,5478,4332,1737,421,28340,97,429,1446,5088,1811,2009,1464,491,98,12930,0,7,32,190,310,1115,2011,1105,291,5067,0,31,98,640,447,549,399,179,56,2398,11,78,466,1334,592,359,237,123,35,3234,86,456,3644,11848,524,220,88,14,0,16879,27,146,163,803,516,568,944,571,286,4028,495,3062,5281,14911,7147,5447,2572,834,240,40000,0,23,51,570,385,289,370,190,40,1927,335,1100,2257,7213,1549,777,248,59,11,13559,3,33,73,456,403,265,98,88,29,1454,249,1665,2950,13297,5317,4314,1983,448,130,30353,19,45,78,1532,464,1122,747,325,301,4645,24,185,236,1852,1506,1576,1452,800,287,7927,163,709,756,1684,640,632,401,163,34,5173,121,783,1541,5834,3269,2425,1524,584,184,16271
UCL102001,0,3,0,11,7,5,6,3,0,34,0,0,0,12,11,29,34,59,19,160,0,0,0,3,3,0,0,0,0,8,0,0,3,6,3,0,0,0,0,20,0,0,0,4,3,0,0,0,0,9,0,0,3,14,5,8,0,0,0,34,0,0,0,0,0,5,18,8,3,34,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,9,0,0,0,54,0,0,0,0,0,59,0,0,0,5,0,5,13,3,4,29,3,21,41,108,61,52,14,3,0,308,0,0,0,3,3,4,0,0,0,12,0,0,7,50,3,3,0,0,0,61,0,0,0,8,8,0,0,0,0,20,3,29,22,59,17,9,0,3,0,137,0,0,0,6,0,4,9,4,0,25,0,0,0,7,15,26,19,10,0,72,0,0,0,10,7,0,0,0,0,17,3,7,9,21,15,10,10,3,0,67
UCL102002,7,36,13,120,65,75,108,71,10,508,0,0,3,34,44,95,135,142,39,491,3,16,7,20,15,3,3,0,0,71,0,25,26,100,46,24,27,3,3,251,0,3,0,22,28,19,18,3,0,100,0,3,27,54,42,25,18,17,0,179,0,0,0,5,17,63,141,69,5,304,0,4,0,11,15,15,9,5,4,62,0,0,0,9,9,0,3,4,0,31,0,3,0,35,5,3,0,0,0,49,0,11,8,16,26,76,169,103,44,451,21,80,137,741,562,498,325,131,42,2532,0,5,3,23,30,22,39,29,6,159,3,8,10,37,7,9,3,0,0,71,0,7,9,37,38,26,7,3,0,132,6,45,66,211,70,61,32,8,4,501,0,0,4,35,17,26,33,20,16,147,4,23,20,108,149,189,218,146,41,900,3,13,10,15,23,15,5,4,4,80,0,46,81,198,170,98,85,46,8,731
UCL102003,3,6,0,17,15,9,15,16,5,82,0,0,0,7,9,12,26,24,11,81,0,5,4,17,5,0,4,0,0,41,0,3,5,7,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,3,5,5,4,0,0,21,0,0,0,0,0,8,10,13,3,30,0,0,0,5,3,3,4,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,14,0,0,0,3,9,18,32,32,6,94,3,44,50,244,126,148,140,94,24,879,0,0,0,3,6,4,10,10,6,45,0,0,0,7,0,0,0,0,0,13,0,0,3,13,15,7,3,4,0,43,5,17,13,35,12,3,3,0,0,88,0,0,0,3,0,3,6,3,3,23,0,3,0,7,24,23,46,58,19,183,0,4,0,0,6,5,3,0,0,15,0,9,8,27,15,16,9,5,0,97
UCL102004,9,32,8,107,52,37,40,24,3,305,0,3,7,18,35,86,111,179,88,526,0,17,13,15,4,3,10,0,0,60,4,20,62,130,28,9,3,3,3,267,0,0,3,11,5,4,3,0,0,29,0,7,53,115,48,43,41,15,0,329,0,0,0,4,4,9,34,7,0,64,0,0,11,19,4,3,7,3,0,38,0,0,11,9,0,3,3,0,0,28,0,4,10,45,4,0,0,0,0,67,0,9,3,31,22,34,131,60,30,325,21,78,163,552,332,292,155,70,15,1675,0,0,3,27,16,16,27,15,3,108,4,20,35,131,11,0,6,0,0,212,0,0,5,25,26,20,3,0,0,84,12,48,62,180,39,29,8,3,0,364,0,0,0,34,18,27,25,31,32,171,3,21,10,104,89,124,168,106,29,657,0,5,39,19,18,5,3,10,0,97,0,27,71,163,99,69,26,23,3,483
UCL102005,0,33,9,76,48,34,40,45,9,299,0,8,10,53,102,281,353,450,214,1457,0,9,7,18,11,3,0,0,0,51,0,17,32,74,26,8,3,3,0,160,5,6,15,103,75,67,53,14,15,338,0,10,107,47,20,26,17,10,3,225,0,3,0,7,27,77,128,74,15,333,0,0,0,4,7,12,0,0,0,23,3,6,19,47,13,7,8,3,0,96,3,0,11,34,3,0,3,0,0,46,0,4,4,16,31,63,211,109,41,474,12,81,134,442,271,196,113,39,11,1313,0,10,3,13,16,17,28,14,5,111,0,12,53,101,16,10,8,0,0,199,0,3,8,13,22,7,4,0,0,61,10,48,37,169,51,42,23,4,3,373,0,3,0,40,14,54,43,20,18,184,0,15,18,54,180,217,235,158,53,933,12,9,11,12,5,10,3,3,0,56,3,19,48,141,60,48,34,19,6,373
UCL111001,0,3,0,15,4,0,5,7,0,39,0,0,0,0,3,7,9,10,0,31,0,0,0,0,0,0,0,0,0,6,0,0,4,6,0,0,0,0,0,13,0,0,0,3,4,0,0,0,0,9,0,0,0,7,0,3,0,0,0,13,0,0,0,0,0,0,4,4,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,31,44,21,3,0,0,0,0,103,0,3,0,4,3,16,39,23,3,89,0,12,30,68,66,45,30,12,5,263,0,0,0,3,0,0,3,0,0,3,0,3,0,13,4,0,0,0,0,22,0,0,0,4,3,0,0,0,0,8,0,13,6,45,19,8,3,0,0,98,0,0,0,0,0,3,3,0,4,16,0,0,3,5,17,15,21,12,0,84,0,0,0,0,3,0,0,0,0,12,0,0,15,16,15,9,4,0,0,60
UCL111002,3,4,0,12,6,9,8,7,3,47,0,0,0,3,7,11,14,14,4,50,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,3,0,0,0,22,0,0,0,4,0,0,0,0,0,3,3,0,3,18,17,10,0,0,0,44,0,0,0,0,4,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,6,0,10,23,17,0,62,5,18,36,151,76,65,37,16,0,407,0,0,0,3,0,5,3,6,0,26,0,6,4,13,5,3,0,0,0,39,0,0,0,3,0,0,0,0,0,4,3,12,16,47,15,4,0,0,0,100,0,0,0,4,0,0,12,7,3,30,0,11,0,24,22,41,32,25,4,152,0,0,0,0,3,0,0,0,0,8,3,20,26,49,40,13,3,4,0,160
UCL112001,0,0,0,3,3,3,0,0,0,15,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,0,8,52,6,0,0,0,0,64,0,0,0,3,0,3,3,0,0,18,0,15,18,29,19,18,7,3,3,122,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,22,0,4,3,7,3,3,0,0,0,22,0,3,7,30,3,0,0,0,0,46,0,0,0,0,0,0,0,0,0,4,0,0,3,3,10,5,12,4,3,34,0,0,0,0,0,0,0,0,0,5,0,0,9,6,5,4,3,0,0,36
UCL112002,0,5,0,6,4,3,3,4,0,23,0,0,0,0,3,9,4,0,0,18,0,3,3,0,0,0,0,0,0,7,0,3,3,11,0,0,0,0,0,18,0,0,0,9,5,3,3,0,0,16,0,4,0,5,3,0,3,0,0,16,0,0,0,0,0,3,3,0,0,10,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,5,20,3,0,0,0,0,29,0,0,0,0,3,8,13,7,0,33,3,13,26,59,44,26,18,3,3,198,0,0,0,0,0,0,3,0,0,9,0,0,0,17,0,0,0,0,0,18,0,0,0,7,3,0,0,0,0,10,3,13,12,27,0,3,0,0,0,60,0,0,0,0,0,0,0,4,0,8,0,3,4,7,13,16,14,12,0,59,0,0,0,4,0,0,0,0,0,9,0,5,9,15,10,6,5,0,0,50
